"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008094","GO:0008094","ATP-dependent activity, acting on DNA","43/3777","123/18737",0.349593495934959,1.73426882005119,4.10519623746026,8.94822270111666e-05,0.0034870105338414,0.00300530769007898,"9557/6944/1660/1763/6832/23063/56652/89797/4361/440081/5965/1663/57634/5890/27030/7517/54617/80119/10847/80205/1107/399687/5892/2186/6597/1653/2956/5378/7520/51750/8607/6596/170506/1105/10111/10146/4176/5379/4173/6595/23064/1654/546",43
"GO:0000339","GO:0000339","RNA cap binding","12/3777","20/18737",0.6,2.97648927720413,4.44362574971182,0.000109168566164582,0.00402706458161291,0.00347075755524989,"8672/24138/28960/10073/55421/1973/8664/22916/55132/23367/25929/27161",12
"GO:0140101","GO:0140101","catalytic activity, acting on a tRNA","47/3777","139/18737",0.338129496402878,1.677398033916,4.0277670501784,0.000109799675841892,0.00402706458161291,0.00347075755524989,"126789/10352/6894/1787/118672/283459/79587/85495/283/112487/115708/56986/54913/124454/79068/54920/3735/60528/51651/146712/56931/81890/55621/10775/54938/391356/55006/80745/150962/79712/79828/92935/55139/10056/92675/51095/25917/80746/54931/54888/6897/2107/51520/2617/54517/3376/24140",47
"GO:0098531","GO:0098531","ligand-activated transcription factor activity","25/3777","60/18737",0.416666666666667,2.06700644250287,4.15944362037342,0.000116590977689165,0.00415396997652538,0.00358013197656052,"6097/2101/5139/3164/7181/2100/6095/10002/11057/6720/7067/9572/5914/6774/4929/5468/9975/10424/57491/2908/196/3174/8013/2649/6256",25
"GO:0140142","GO:0140142","nucleocytoplasmic carrier activity","16/3777","32/18737",0.5,2.48040773100344,4.2113720628989,0.000155984943301961,0.00540314511937626,0.00465674348278662,"5901/64328/3839/3843/79711/10073/23214/10204/3837/3838/7514/1434/3836/3840/55374/23039",16
"GO:0017017","GO:0017017","MAP kinase tyrosine/serine/threonine phosphatase activity","9/3777","13/18737",0.692307692307692,3.4344107044663,4.41176472048798,0.000175905904766786,0.00576465775137042,0.00496831601245026,"1847/1850/80824/1848/11072/1844/1843/1846/63904",9
"GO:0052650","GO:0052650","all-trans-retinol dehydrogenase (NADP+) activity","9/3777","13/18737",0.692307692307692,3.4344107044663,4.41176472048798,0.000175905904766786,0.00576465775137042,0.00496831601245026,"9249/8644/51635/145226/50700/57665/231/57016/441282",9
"GO:0008408","GO:0008408","3'-5' exonuclease activity","24/3777","58/18737",0.413793103448276,2.05275122565802,4.03467981844956,0.000180290017885683,0.00576465775137042,0.00496831601245026,"79033/5883/4361/255967/328/115752/3669/5073/4830/5442/56915/5424/87178/129563/22803/201626/25819/10111/9337/90459/29883/23404/57109/54932",24
"GO:0051015","GO:0051015","actin filament binding","64/3777","211/18737",0.303317535545024,1.50470232022958,3.7045190599452,0.000275274600266484,0.00858168566330765,0.00739619386505475,"8407/10529/6840/653145/3983/57698/4647/51474/283431/10979/6710/87/79789/55930/4643/83660/390594/10391/4649/4641/4628/8522/23164/2314/399687/8851/3927/4635/84687/25794/201176/80179/4645/126353/4650/81/57731/6711/10097/84168/119/822/114793/4430/55612/11034/11078/9463/2317/57619/4651/6624/1956/3092/55607/830/57180/5339/7169/7094/2934/81873/5358/2316",64
"GO:0016741","GO:0016741","transferase activity, transferring one-carbon groups","65/3777","216/18737",0.300925925925926,1.49283798625207,3.66053841273947,0.000316234279613172,0.00961814991896646,0.00828947880577787,"113802/56950/6894/4548/64216/1787/118881/23378/10196/56981/645332/51111/55199/4839/10436/254013/8085/25895/11108/56339/10419/79609/115708/2628/196483/9739/79918/2653/114826/79066/10400/79922/117246/124512/55621/9757/2091/3276/790/55006/80745/79823/10322/29081/79828/151194/471/2618/63977/3275/25917/54931/80854/54888/27292/114049/56257/85002/653333/115294/63978/138199/28989/8623/24140",65
"GO:0004532","GO:0004532","RNA exonuclease activity","18/3777","40/18737",0.45,2.2323669579031,3.92039847603973,0.000331879393914168,0.00985365724311826,0.00849245266131241,"79033/28960/255967/115752/3669/5073/5442/56915/87178/129563/22803/201626/54464/25819/9337/90459/29883/23404",18
"GO:0004721","GO:0004721","phosphoprotein phosphatase activity","55/3777","178/18737",0.308988764044944,1.53283623826055,3.58899293465346,0.00043196234486107,0.012526908000971,0.0107964150331249,"8073/5792/54935/5784/27143/5728/5507/1847/54961/1850/5777/80824/57460/1848/5501/192111/90673/1033/11099/283871/10295/57546/23399/85464/11072/1845/55379/5771/92609/5536/5794/5496/5495/5534/1844/7145/58190/285193/5786/994/2139/5770/5783/1843/7803/2070/7957/64759/5782/5533/1846/54704/5747/5774/63904",55
"GO:0005096","GO:0005096","GTPase activator activity","78/3777","272/18737",0.286764705882353,1.42258678689903,3.52753916523905,0.000453047040328374,0.0128397649838519,0.0110660533056285,"7813/6004/57568/2665/8829/58504/6001/1793/392/10435/6494/9610/9743/55200/10059/120892/57522/64786/192111/90627/22821/394/79890/1983/10681/663/4649/23102/29/9905/23108/9135/9744/201163/3996/140775/28964/57636/125058/396/6904/201176/4650/84079/23094/126432/9138/2909/79735/8853/6654/11138/5903/1123/116987/10483/54453/57580/5905/9779/57533/23216/10144/51306/23092/51520/10636/23061/3268/10156/80005/50807/80728/203228/216/2776/5998/84253",78
"GO:0008186","GO:0008186","ATP-dependent activity, acting on RNA","29/3777","79/18737",0.367088607594937,1.82105884048354,3.67452678420738,0.000475755464189976,0.0131837125298867,0.0113624872266191,"1660/9188/6832/440081/51202/1663/9416/79039/57696/57647/317781/80119/11269/1973/1659/79665/11325/1655/9775/9704/1653/8886/170506/23517/10146/54606/64794/1654/8653",29
"GO:0016896","GO:0016896","RNA exonuclease activity, producing 5'-phosphomonoesters","17/3777","38/18737",0.447368421052632,2.2193121803715,3.78045135584931,0.00052560146811508,0.0142483702334675,0.0122800709140846,"79033/255967/115752/3669/5073/5442/56915/87178/129563/22803/201626/54464/25819/9337/90459/29883/23404",17
"GO:0140104","GO:0140104","molecular carrier activity","34/3777","98/18737",0.346938775510204,1.72109924192076,3.59619230314422,0.000546314833995364,0.0143525313770995,0.0123698430220053,"6944/9531/144108/23788/80824/4673/11137/5901/64328/3839/3843/79711/26520/10073/3049/4706/23214/10204/55135/6341/3837/3838/114757/7514/1434/4151/3836/3840/55374/23039/1191/220869/2395/538",34
"GO:0051536","GO:0051536","iron-sulfur cluster binding","28/3777","76/18737",0.368421052631579,1.82766885442359,3.63280500317779,0.000552463116359884,0.0143525313770995,0.0123698430220053,"55847/1763/10539/6188/440081/1663/23479/3658/4913/654483/1801/9851/51629/55316/284106/4729/7386/5424/7498/10621/51750/50/26234/5471/317671/5980/2395/81689",28
"GO:0000175","GO:0000175","3'-5'-RNA exonuclease activity","16/3777","35/18737",0.457142857142857,2.26780135406029,3.77213599396483,0.00056808706886186,0.0144572362218518,0.0124600837230496,"79033/255967/115752/3669/5073/5442/56915/87178/129563/22803/201626/25819/9337/90459/29883/23404",16
"GO:0004527","GO:0004527","exonuclease activity","30/3777","84/18737",0.357142857142857,1.7717198078596,3.56181271502939,0.00065394761677342,0.0163094535623291,0.0140564319310666,"79033/5883/4361/28960/255967/328/22909/115752/64782/3669/5073/4830/5442/56915/5424/1653/87178/129563/92667/22803/201626/54464/25819/10111/9337/90459/29883/23404/57109/54932",30
"GO:0051540","GO:0051540","metal cluster binding","28/3777","77/18737",0.363636363636364,1.80393289527523,3.55185703570308,0.00070324982432222,0.0171951476652903,0.0148197744196695,"55847/1763/10539/6188/440081/1663/23479/3658/4913/654483/1801/9851/51629/55316/284106/4729/7386/5424/7498/10621/51750/50/26234/5471/317671/5980/2395/81689",28
"GO:0050780","GO:0050780","dopamine receptor binding","9/3777","15/18737",0.6,2.97648927720413,3.84777887675871,0.000829594091015994,0.0196418497301155,0.0169284840032481,"55737/409/1742/84687/10672/27131/2768/2770/858",9
"GO:0005522","GO:0005522","profilin binding","7/3777","10/18737",0.7,3.47257082340482,3.92971242020316,0.00090555187430524,0.0196418497301155,0.0169284840032481,"55740/2017/51466/71/7408/7456/1627",7
"GO:0008190","GO:0008190","eukaryotic initiation factor 4E binding","7/3777","10/18737",0.7,3.47257082340482,3.92971242020316,0.00090555187430524,0.0196418497301155,0.0169284840032481,"3087/23357/1981/8637/23367/1978/1654",7
"GO:0008330","GO:0008330","protein tyrosine/threonine phosphatase activity","7/3777","10/18737",0.7,3.47257082340482,3.92971242020316,0.00090555187430524,0.0196418497301155,0.0169284840032481,"1847/1850/80824/1848/1844/1843/1846",7
"GO:0033550","GO:0033550","MAP kinase tyrosine phosphatase activity","7/3777","10/18737",0.7,3.47257082340482,3.92971242020316,0.00090555187430524,0.0196418497301155,0.0169284840032481,"1847/1850/80824/1848/1844/1843/1846",7
"GO:0034511","GO:0034511","U3 snoRNA binding","7/3777","10/18737",0.7,3.47257082340482,3.92971242020316,0.00090555187430524,0.0196418497301155,0.0169284840032481,"27042/57647/3669/55720/7520/4809/9136",7
"GO:0001217","GO:0001217","DNA-binding transcription repressor activity","78/3777","278/18737",0.280575539568345,1.39188347495157,3.30766408744724,0.000913574406051883,0.0196418497301155,0.0169284840032481,"2023/6097/51043/3068/55509/55657/3087/4601/64376/7753/2120/79365/5463/11016/7181/2004/6926/1045/2308/3091/22890/4149/4088/10127/79759/463/4335/57659/9572/5914/1748/6909/3607/6929/83855/27033/2077/3661/84878/7593/1876/4084/84524/6670/9208/3170/64412/60436/6615/1051/4773/7022/10732/140685/23598/5468/9975/4286/27086/26137/6498/3280/7690/2908/83463/94234/57621/7975/221937/5814/51085/9569/6591/65986/169792/4799/9925/80712",78
"GO:0048156","GO:0048156","tau protein binding","18/3777","43/18737",0.418604651162791,2.07662042595637,3.55133677200436,0.000957656279364226,0.0198115399682254,0.0170747328810688,"9024/2011/2288/3306/5641/3320/10273/9344/57551/26574/4087/2931/57787/5536/1859/3326/60/1191",18
"GO:0033549","GO:0033549","MAP kinase phosphatase activity","10/3777","18/18737",0.555555555555556,2.75600859000382,3.745136929409,0.000966042537573109,0.0198115399682254,0.0170747328810688,"1847/1850/80824/1848/11072/1845/1844/1843/1846/63904",10
"GO:0008106","GO:0008106","alcohol dehydrogenase (NADP+) activity","14/3777","30/18737",0.466666666666667,2.31504721560321,3.62197989104857,0.000969129060193867,0.0198115399682254,0.0170747328810688,"9249/10327/1645/1646/8644/728635/51635/145226/218/50700/57665/231/57016/441282",14
"GO:0019903","GO:0019903","protein phosphatase binding","45/3777","144/18737",0.3125,1.55025483187715,3.33055423984297,0.00105505741435016,0.0209133608670036,0.0180243459631205,"6548/343521/3716/2029/493/5507/6778/29110/51434/5501/5829/51433/2308/11215/8660/90673/3958/3320/7187/10776/7531/1742/3728/2648/6774/84687/8877/5609/3718/634/3783/6801/6772/140885/54976/5770/153769/91272/10399/2768/1956/4233/114/5747/7186",45
"GO:0030331","GO:0030331","nuclear estrogen receptor binding","17/3777","40/18737",0.425,2.10834657135293,3.52586555602665,0.00107334009261286,0.0209133608670036,0.0180243459631205,"64210/11331/85004/79039/161582/9325/79447/23558/6801/10865/5111/6714/3275/9730/5481/6867/25879",17
"GO:0061650","GO:0061650","ubiquitin-like protein conjugating enzyme activity","17/3777","40/18737",0.425,2.10834657135293,3.52586555602665,0.00107334009261286,0.0209133608670036,0.0180243459631205,"55585/51506/92912/7326/27338/57448/140739/11065/7325/7324/64422/3093/83734/7322/7328/54926/7319",17
"GO:0008168","GO:0008168","methyltransferase activity","60/3777","205/18737",0.292682926829268,1.45194598888006,3.26925243261448,0.00112822647373027,0.0216445909652562,0.0186545624239451,"113802/56950/6894/4548/64216/1787/118881/23378/10196/56981/645332/51111/55199/4839/10436/254013/8085/25895/11108/56339/10419/79609/115708/196483/9739/79918/114826/79066/10400/79922/117246/124512/55621/9757/2091/3276/55006/80745/79823/10322/29081/79828/151194/63977/3275/25917/54931/80854/54888/27292/114049/56257/85002/653333/115294/63978/138199/28989/8623/24140",60
"GO:0017069","GO:0017069","snRNA binding","21/3777","54/18737",0.388888888888889,1.92920601300268,3.43583040836224,0.00118286461829002,0.0223489724092068,0.0192616391590767,"3192/9188/904/9733/26827/3669/6627/23450/79066/1984/9343/10614/8161/6626/905/6629/4809/22916/25929/56257/9128",21
"GO:0016791","GO:0016791","phosphatase activity","76/3777","273/18737",0.278388278388278,1.38103287587005,3.18659603131461,0.00133564386063612,0.0248589237942275,0.0214248606710052,"8073/5792/54935/477/5784/5209/27143/5728/5507/118924/22978/1847/64077/3632/54961/1850/5777/80824/57460/1848/51559/5501/192111/90673/1033/11099/283871/10295/57546/23399/56953/85464/11072/1845/92579/55379/30833/3613/5771/390928/92609/5536/11284/5794/23175/5496/5495/5534/1844/3628/7145/58190/248/285193/5786/994/140838/2139/5770/58478/5783/25819/8611/1843/7803/2070/7957/8871/64759/5782/5533/1846/54704/5747/5774/63904",76
"GO:0016620","GO:0016620","oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor","17/3777","41/18737",0.414634146341463,2.05692348424676,3.4041388103297,0.00149292249834609,0.0273592733237357,0.0235798067475914,"8644/5832/84188/8050/222/221/2597/8854/220/224/218/26330/501/231/57016/219/216",17
"GO:0004674","GO:0004674","protein serine/threonine kinase activity","112/3777","429/18737",0.261072261072261,1.29513130942837,3.10720289902544,0.00152423137929112,0.0273592733237357,0.0235798067475914,"65018/1263/23139/5567/5565/9261/84033/84451/10000/57118/1326/2869/282974/9024/2011/4296/65125/120892/269/1019/29110/8445/9891/283455/10645/8408/8814/11183/5583/83694/57143/5891/5597/5315/25989/79705/29904/5347/9344/10295/84254/50488/9212/6416/5598/9706/5606/8844/284086/57551/9020/2081/5578/9625/1453/2872/5609/11184/10298/9149/4294/208/8425/2931/57787/646643/100130827/1196/4052/5610/5581/7444/51776/10494/140901/7150/112858/1859/1454/415116/7048/9730/5580/8997/545/55351/658/817/7204/10769/375449/1456/6793/2870/83732/56975/9263/1956/1021/51422/3551/6788/203054/9833/140803/23552/65268/10783/6792/6197/5255/5616",112
"GO:0051537","GO:0051537","2 iron, 2 sulfur cluster binding","13/3777","28/18737",0.464285714285714,2.30323575021748,3.46755092310459,0.00155368555450559,0.0273592733237357,0.0235798067475914,"55847/23479/654483/9851/51629/284106/4729/7386/7498/26234/317671/2395/81689",13
"GO:0004029","GO:0004029","aldehyde dehydrogenase (NAD+) activity","9/3777","16/18737",0.5625,2.79045869737887,3.60002827094047,0.00155774531354068,0.0273592733237357,0.0235798067475914,"222/221/8854/220/224/218/501/219/216",9
"GO:0003724","GO:0003724","RNA helicase activity","27/3777","77/18737",0.350649350649351,1.73950672044397,3.26721566363993,0.00162658479171864,0.0281715449343493,0.0242798694787242,"1660/9188/6832/440081/51202/9416/79039/57696/57647/317781/11269/1973/1659/79665/11325/1655/9775/9704/1653/8886/170506/23517/10146/54606/64794/1654/8653",27
"GO:0070034","GO:0070034","telomerase RNA binding","11/3777","22/18737",0.5,2.48040773100344,3.49095221081856,0.00169006359510822,0.0288699904534241,0.0248818302899134,"3192/5073/64282/55135/6628/54464/170506/54433/92345/55651/1736",11
"GO:0005085","GO:0005085","guanyl-nucleotide exchange factor activity","65/3777","230/18737",0.282608695652174,1.4019695870889,3.08201846093575,0.00191365649972215,0.0318550686779803,0.0274545436375452,"8412/9181/28956/23179/84033/51196/3257/23268/5662/1793/6764/23075/81846/9610/29984/9828/55200/121512/440107/55785/54509/1967/221178/26030/79890/5923/11214/25894/29/140775/10672/9267/57572/84079/126432/64857/9138/9266/8890/6654/55704/23550/11069/1933/25791/9855/54453/57580/50650/8997/152/153478/7204/64283/51735/221472/9639/23362/80005/22898/1936/203228/2889/5900/7410",65
"GO:0031490","GO:0031490","chromatin DNA binding","40/3777","128/18737",0.3125,1.55025483187715,3.13872644309755,0.00193794080183502,0.0318550686779803,0.0274545436375452,"1660/3020/3192/5927/100287314/5094/8091/2308/328/4088/92822/23135/5187/7067/5914/6774/6603/23558/22904/53615/6597/1050/81/55818/84969/1051/6599/55167/10891/860/60/29803/55806/63978/100507056/9314/54107/7543/8473/546",40
"GO:0001227","GO:0001227","DNA-binding transcription repressor activity, RNA polymerase II-specific","74/3777","268/18737",0.276119402985075,1.36977740368847,3.06360105001034,0.00194144764998116,0.0318550686779803,0.0274545436375452,"2023/6097/3068/55509/55657/3087/4601/64376/7753/2120/79365/5463/11016/7181/2004/6926/1045/2308/22890/4149/10127/79759/463/4335/57659/9572/1748/6909/3607/6929/83855/27033/2077/3661/84878/7593/1876/4084/84524/6670/9208/3170/64412/60436/6615/1051/4773/7022/10732/140685/23598/5468/9975/4286/27086/26137/6498/3280/7690/2908/83463/94234/57621/7975/221937/5814/51085/9569/6591/65986/169792/4799/9925/80712",74
"GO:0034713","GO:0034713","type I transforming growth factor beta receptor binding","7/3777","11/18737",0.636363636363636,3.15688256673165,3.59539382162078,0.00205624294967081,0.032468169550074,0.0279829494877184,"10979/4091/4087/4092/7040/2280/7048",7
"GO:0016763","GO:0016763","pentosyltransferase activity","19/3777","49/18737",0.387755102040816,1.92358150567614,3.25265491205075,0.00207475361602833,0.032468169550074,0.0279829494877184,"283464/10329/144811/4860/54956/56965/23475/353/64132/81890/22933/1890/7372/25976/5471/7378/10135/4507/3251",19
"GO:0008173","GO:0008173","RNA methyltransferase activity","24/3777","67/18737",0.358208955223881,1.77700852370396,3.20137950198543,0.00207694876240629,0.032468169550074,0.0279829494877184,"113802/6894/64216/1787/4839/10436/56339/115708/79066/79922/117246/55621/2091/55006/80745/29081/79828/25917/54931/54888/27292/114049/56257/24140",24
